0.050000 0.050000 0.200000 0.600000 0 0 0 0 0 0 2
10225017737 25T_DT3 Tran Van Duc -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017738 25T_DT2 Le Thi Nhung -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017739 25T_DT4 Pham Van Tai -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017740 25T_DT1 Hoang Thi Yen -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017741 25T_DT2 Do Minh Quang -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017747 25T_DT2 Pham Thanh Ly -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017748 25T_DT4 Pham Thanh Pho -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017749 25T_DT4 Le Van A -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017750 25t4 Nguyen Quoc Khanh -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017751 25_dt10 Bui Hoang Long -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017752 25T_DT1 Supachok -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017753 25T_DT6 Le Nguyen Binh -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017754 25_AI1 Nguyen Hoang -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017755 30T_DT2 Le Van Khanh -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
